Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
A1	1351.968	0.120	0.995	1210	0.546	5.594	0.880
A2	401.738	0.033	0.999	385	0.703	6.035	0.967
A3	412.103	0.030	0.999	395	0.714	6.162	0.970
A4	472.750	0.031	0.999	439	0.706	6.199	0.969
A5	479.091	0.045	0.999	462	0.652	5.768	0.955
A6	474.909	0.032	0.999	467	0.699	6.201	0.968
A7	412.800	0.050	0.999	398	0.662	5.716	0.950
A8	477.920	0.030	0.999	446	0.706	6.218	0.970
A9	380.286	0.131	0.999	358	0.573	4.861	0.869
A10	400.000	0.048	0.999	378	0.682	5.841	0.952
A11	386.292	0.061	0.999	357	0.662	5.616	0.939
A12	613.371	0.144	0.998	573	0.518	4.744	0.856
A13	395.941	0.042	0.999	384	0.702	6.023	0.958
A14	392.000	0.041	0.999	383	0.694	5.955	0.959
A15	393.156	0.046	0.999	383	0.674	5.781	0.954
A16	491.167	0.048	0.999	462	0.694	6.143	0.952
A17	198.143	0.063	0.999	185	0.629	4.734	0.937
A18	454.429	0.043	0.999	436	0.674	5.911	0.957
A19	302.667	0.277	1.000	295	0.481	3.950	0.723
A20	374.636	0.039	0.999	351	0.693	5.858	0.961
A21	361.583	0.200	0.999	346	0.503	4.241	0.800
A22	364.667	0.039	1.000	357	0.714	6.057	0.961
A23	261.240	0.072	1.000	252	0.621	4.955	0.928
A24	355.022	0.088	0.999	331	0.568	4.755	0.912
A25	253.562	0.036	1.000	247	0.712	5.659	0.964
A26	273.333	0.047	0.999	254	0.678	5.415	0.953
A27	320.286	0.061	1.000	316	0.634	5.267	0.939
A28	202.882	0.192	1.000	199	0.527	4.021	0.808
A29	238.105	0.139	1.000	234	0.553	4.353	0.861
A30	406.353	0.021	1.000	394	0.762	6.572	0.979
A31	397.917	0.023	1.000	390	0.761	6.547	0.977
A32	269.636	0.087	0.999	256	0.618	4.940	0.913
A33	278.000	0.038	0.999	265	0.694	5.583	0.962
A34	260.120	0.043	1.000	254	0.678	5.415	0.957
A35	392.667	0.025	1.000	387	0.746	6.409	0.975
A36	393.038	0.020	1.000	389	0.770	6.624	0.980
B1	196.667	0.055	1.000	195	0.663	5.047	0.945
B2	328.667	0.028	1.000	325	0.746	6.225	0.972
B3	409.615	0.018	1.000	405	0.779	6.749	0.982
B4	689.942	0.019	1.000	687	0.751	7.081	0.981
B5	549.603	0.135	0.999	530	0.575	5.204	0.865
B6	344.333	0.054	0.999	325	0.679	5.667	0.946
B7	371.276	0.053	0.999	343	0.665	5.603	0.947
B8	400.923	0.061	0.999	360	0.636	5.399	0.939
B9	1221.665	0.070	0.996	1121	0.579	5.863	0.930
B10	285.714	0.106	1.000	282	0.588	4.787	0.894
B11	1431.557	0.084	0.994	1294	0.573	5.921	0.916
B12	581.000	0.067	0.998	540	0.561	5.089	0.933
B13	410.500	0.119	0.998	375	0.511	4.368	0.881
B14	310.091	0.030	0.999	296	0.709	5.817	0.970
B15	307.913	0.110	0.999	289	0.615	5.030	0.890
B16	346.500	0.047	0.999	330	0.683	5.716	0.953
B17	450.615	0.105	0.999	421	0.590	5.146	0.895
B18	398.216	0.060	0.999	388	0.682	5.867	0.940
B19	361.034	0.059	0.999	345	0.643	5.422	0.941
B20	655.900	0.066	0.998	619	0.602	5.579	0.934
C1	211.550	0.120	1.000	207	0.567	4.364	0.880
C2	357.920	0.149	0.999	326	0.497	4.149	0.851
C3	895.821	0.018	0.998	851	0.753	7.325	0.982
C4	518.808	0.046	0.999	475	0.664	5.906	0.954
C5	460.294	0.058	0.999	415	0.609	5.299	0.942
C6	286.050	0.083	0.999	258	0.601	4.817	0.917
C7	931.432	0.026	0.998	866	0.695	6.780	0.974
C8	585.400	0.062	0.998	527	0.623	5.631	0.938
C9	730.983	0.027	0.999	694	0.709	6.691	0.973
C10	280.857	0.053	0.999	271	0.656	5.302	0.947
C11	352.562	0.082	0.999	323	0.606	5.049	0.918
C12	271.882	0.085	1.000	271	0.620	5.013	0.915
C13	879.084	0.088	0.996	772	0.538	5.160	0.912
C14	740.776	0.046	0.998	710	0.618	5.851	0.954
C15	535.667	0.045	0.999	501	0.658	5.898	0.955
C16	349.714	0.028	0.999	339	0.726	6.103	0.972
C17	430.727	0.039	0.999	404	0.687	5.951	0.961
C18	360.091	0.048	0.999	351	0.672	5.680	0.952
C19	384.500	0.024	0.999	368	0.731	6.232	0.976
C20	276.240	0.105	1.000	267	0.570	4.595	0.895
