sample	observed_species	shannon	simpson	chao1	ACE	goods_coverage	PD_whole_tree
A1	715	6.585	0.967	749.660	765.683	0.998	32.091
A2	575	6.041	0.952	620.143	622.387	0.998	28.922
A3	716	6.056	0.934	837.625	827.074	0.997	32.553
A4	701	6.542	0.971	786.312	771.715	0.998	35.308
A5	783	6.985	0.980	879.178	861.802	0.998	38.469
A6	684	6.699	0.976	714.558	724.282	0.999	30.518
A7	831	7.090	0.977	931.563	910.526	0.998	36.631
A8	837	7.118	0.980	925.933	910.607	0.998	36.518
A9	793	7.024	0.978	836.011	843.985	0.998	34.659
A10	680	6.560	0.972	727.559	743.283	0.998	30.592
B1	642	6.506	0.975	715.125	694.427	0.998	29.663
B2	775	6.850	0.975	855.701	857.647	0.998	34.234
B3	796	6.972	0.972	854.710	863.185	0.998	35.253
B4	747	6.473	0.955	786.085	785.827	0.999	34.550
B5	703	6.882	0.982	798.857	795.102	0.998	37.483
B6	537	5.582	0.939	576.965	572.943	0.999	26.275
B7	675	6.202	0.958	756.110	765.650	0.998	32.269
B8	608	6.496	0.976	690.543	689.294	0.998	28.932
B9	543	5.088	0.908	591.733	595.396	0.998	24.944
B10	620	6.161	0.965	711.370	706.251	0.998	30.846
C1	786	7.204	0.985	899.682	870.349	0.998	34.925
C2	763	7.237	0.985	811.115	818.230	0.998	37.626
C3	595	6.341	0.973	643.092	647.183	0.998	28.087
C4	738	7.067	0.986	820.933	823.481	0.998	40.123
C5	725	6.774	0.974	813.478	799.106	0.998	32.923
C6	814	6.890	0.979	890.561	891.679	0.998	41.432
C7	807	7.268	0.985	905.724	888.574	0.998	36.532
C8	732	6.682	0.978	838.438	823.847	0.997	35.085
C9	616	5.765	0.950	651.302	676.832	0.998	31.882
C10	778	6.888	0.981	873.679	861.556	0.998	34.599
D1	789	6.843	0.977	881.400	882.523	0.997	35.748
D2	785	6.570	0.971	855.957	860.757	0.998	34.624
D3	736	6.157	0.953	867.060	852.445	0.997	33.594
D4	810	7.162	0.984	887.278	876.346	0.998	36.363
D5	770	6.977	0.981	863.643	843.045	0.998	40.590
D6	470	4.351	0.892	532.539	545.096	0.998	24.787
D7	730	6.732	0.974	823.284	811.482	0.998	36.139
D8	619	6.383	0.962	677.139	680.482	0.998	35.345
D9	719	6.953	0.981	834.809	816.484	0.997	33.773
D10	658	6.476	0.968	716.448	711.257	0.998	31.237
