Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
A1	705.146	0.031	1.000	704	0.731	6.917	0.969
A2	519.957	0.047	1.000	516	0.695	6.264	0.953
A3	860.528	0.065	0.999	831	0.651	6.318	0.935
A4	621.000	0.028	1.000	621	0.730	6.775	0.972
A5	865.909	0.018	0.999	860	0.753	7.345	0.982
A6	670.778	0.020	1.000	670	0.749	7.030	0.980
A7	1098.235	0.021	0.999	1069	0.749	7.539	0.979
A8	1272.627	0.017	0.998	1208	0.742	7.600	0.983
A9	967.444	0.019	0.999	958	0.753	7.459	0.981
A10	630.163	0.026	1.000	627	0.742	6.892	0.974
B1	571.261	0.017	1.000	571	0.759	6.949	0.983
B2	985.182	0.021	0.999	959	0.746	7.392	0.979
B3	951.829	0.025	0.999	933	0.754	7.437	0.975
B4	716.200	0.044	1.000	714	0.713	6.762	0.956
B5	847.217	0.014	0.999	818	0.750	7.255	0.986
B6	445.667	0.051	1.000	445	0.658	5.789	0.949
B7	893.050	0.035	0.998	832	0.671	6.512	0.965
B8	636.700	0.018	0.999	628	0.744	6.919	0.982
B9	447.840	0.080	1.000	447	0.599	5.278	0.920
B10	844.667	0.033	0.998	776	0.676	6.488	0.967
C1	1004.226	0.013	0.999	963	0.771	7.639	0.987
C2	928.359	0.012	0.999	922	0.779	7.668	0.988
C3	520.333	0.021	1.000	519	0.741	6.687	0.979
C4	848.471	0.012	0.999	831	0.765	7.424	0.988
C5	928.965	0.025	0.999	889	0.731	7.164	0.975
C6	932.387	0.017	0.999	917	0.735	7.231	0.983
C7	922.342	0.013	0.999	902	0.779	7.650	0.987
C8	776.382	0.016	0.999	755	0.739	7.062	0.984
C9	547.732	0.044	1.000	544	0.667	6.062	0.956
C10	923.065	0.016	0.999	900	0.738	7.240	0.984
D1	975.679	0.020	0.998	942	0.730	7.211	0.980
D2	872.447	0.025	0.999	860	0.715	6.974	0.975
D3	851.429	0.044	0.999	821	0.669	6.472	0.956
D4	917.292	0.012	0.999	907	0.773	7.594	0.988
D5	840.782	0.017	0.999	828	0.756	7.332	0.983
D6	360.844	0.085	1.000	358	0.555	4.707	0.915
D7	867.916	0.024	0.999	848	0.724	7.045	0.976
D8	563.050	0.027	1.000	562	0.735	6.717	0.973
D9	862.764	0.016	0.999	839	0.750	7.287	0.984
D10	586.143	0.029	1.000	584	0.733	6.734	0.971
