Group 1,Group 2,H,p-value,q-value
GillCont (n=25),GillInf (n=5),0.13083870967740552,0.7175640161630523,0.8279584801881372
GillCont (n=25),GillRes (n=18),0.1963636363636283,0.6576721644197618,0.8220902055247022
GillCont (n=25),MucusCont (n=25),5.19764705882352,0.022617483727213956,0.1594103272990601
GillCont (n=25),MucusInf (n=7),4.114805194805186,0.042509420613082695,0.1594103272990601
GillCont (n=25),MucusRes (n=20),7.513043478260869,0.006125378348068831,0.09188067522103247
GillInf (n=5),GillRes (n=18),0.0,1.0,1.0
GillInf (n=5),MucusCont (n=25),1.4314838709677389,0.2315224225689829,0.4223676130419497
GillInf (n=5),MucusInf (n=7),0.5340659340659357,0.4649024545473539,0.6339578925645736
GillInf (n=5),MucusRes (n=20),1.4953846153846229,0.22138288217168217,0.4223676130419497
GillRes (n=18),MucusCont (n=25),2.8024242424242516,0.09412189775925177,0.28236569327775535
GillRes (n=18),MucusInf (n=7),2.4761904761904816,0.11558189995138236,0.2889547498784559
GillRes (n=18),MucusRes (n=20),4.4307692307692434,0.03529659684140775,0.1594103272990601
MucusCont (n=25),MucusInf (n=7),0.7901298701298742,0.3740608585162398,0.5610912877743598
MucusCont (n=25),MucusRes (n=20),1.3043478260869676,0.2534205678251698,0.4223676130419497
MucusInf (n=7),MucusRes (n=20),0.0,1.0,1.0
