id	group1	chao1
#q2:types	categorical	numeric
Gi00C1	GillCont	174.64
Gi00C2	GillCont	60
Gi00C3	GillCont	159.111111111111
Gi00C4	GillCont	212.5
Gi00C5	GillCont	167.4
Gi0I1	GillRes	329.85
Gi0I2	GillRes	206.666666666667
Gi0I3	GillRes	234.625
Gi0I4	GillRes	206.142857142857
Gi0I5	GillRes	207.5
Gi4I1	GillRes	201.529411764706
Gi4I2	GillInf	181
Gi4I3	GillRes	198.333333333333
Gi4I4	GillRes	164.142857142857
Gi4I5	GillRes	114.045454545455
Gi7I1	GillRes	209.833333333333
Gi7I2	GillRes	197.12
Gi7I3	GillRes	133.571428571429
Gi7I4	GillRes	77
Gi7I5	GillInf	222.4
Gi10I1	GillRes	295.9375
Gi10I2	GillInf	226.2
Gi10I3	GillInf	118.260869565217
Gi10I4	GillRes	286.291666666667
Gi10I5	GillInf	270
Gi10I6	GillRes	288.2
Gi10I7	GillRes	198.105263157895
Gi10I10	GillRes	193.333333333333
Gi0C1	GillCont	101.142857142857
Gi0C2	GillCont	246.166666666667
Gi0C3	GillCont	305
Gi0C4	GillCont	153.4375
Gi0C5	GillCont	213.142857142857
Gi4C1	GillCont	150.666666666667
Gi4C2	GillCont	229.769230769231
Gi4C3	GillCont	199.769230769231
Gi4C4	GillCont	214.857142857143
Gi4C5	GillCont	104.2
Gi7C1	GillCont	220.428571428571
Gi7C2	GillCont	270.555555555556
Gi7C3	GillCont	310.217391304348
Gi7C4	GillCont	231.111111111111
Gi7C5	GillCont	348.95652173913
Gi10C1	GillCont	207.625
Gi10C2	GillCont	160.909090909091
Gi10C3	GillCont	185.153846153846
Gi10C5	GillCont	306.785714285714
M00C1	MucusCont	348.122448979592
M00C2	MucusCont	329.2
M00C3	MucusCont	320.214285714286
M00C4	MucusCont	418.645833333333
M00C5	MucusCont	273.166666666667
M0I1	MucusRes	152.348837209302
M0I2	MucusRes	437.150684931507
M0I3	MucusRes	317.101265822785
M0I4	MucusRes	234.625
M0I5	MucusRes	221.230769230769
M4I1	MucusRes	272.1
M4I2	MucusInf	270.243902439024
M4I3	MucusRes	384.508196721311
M4I4	MucusRes	221.117647058824
M4I5	MucusRes	289.018518518518
M7I1	MucusRes	285.738095238095
M7I2	MucusRes	268.538461538462
M7I3	MucusRes	273.25
M7I4	MucusRes	384.807692307692
M7I5	MucusInf	265.9
M10I1	MucusRes	282.04347826087
M10I2	MucusInf	327.117647058824
M10I3	MucusInf	276.433333333333
M10I4	MucusRes	332.117647058824
M10I5	MucusInf	359.444444444445
M10I6	MucusRes	323.630434782609
M10I7	MucusRes	382.5
M10I8	MucusRes	328.5
M0C1	MucusCont	325.478260869565
M0C2	MucusCont	354.514705882353
M0C3	MucusCont	400.5625
M0C4	MucusCont	285.777777777778
M0C5	MucusCont	280.103448275862
M4C1	MucusCont	274.12
M4C2	MucusCont	244.7
M4C3	MucusCont	441.568181818182
M4C4	MucusCont	262.157894736842
M4C5	MucusCont	203
M7C1	MucusCont	261
M7C2	MucusCont	292.943661971831
M7C3	MucusCont	267.454545454545
M7C4	MucusCont	278.117647058824
M7C5	MucusCont	444.666666666667
M10C1	MucusCont	376
M10C2	MucusCont	313.447368421053
M10C3	MucusCont	313.181818181818
M10C5	MucusCont	289.193548387097
Gi10I8	MucusRes	150.444444444444
Gi10I9	MucusInf	152
Gi10C4	GillCont	235.928571428571
M10I9	MucusInf	313.4
M10I10	MucusRes	212.666666666667
M10C4	MucusCont	305
