Group 1,Group 2,H,p-value,q-value
GillCont (n=25),GillInf (n=5),0.037935483870967346,0.8455727457919143,1.0
GillCont (n=25),GillRes (n=18),0.21878787878787875,0.6399650499319731,0.9599475748979597
GillCont (n=25),MucusCont (n=25),0.28470588235293803,0.59363327299023,0.9599475748979597
GillCont (n=25),MucusInf (n=7),1.4592207792207859,0.227054143615061,0.9119515948147147
GillCont (n=25),MucusRes (n=20),2.2726956521739226,0.13167070195075262,0.9119515948147147
GillInf (n=5),GillRes (n=18),0.005555555555545766,0.9405842158298006,1.0
GillInf (n=5),MucusCont (n=25),0.006967741935483218,0.9334754443470519,1.0
GillInf (n=5),MucusInf (n=7),0.5340659340659357,0.4649024545473539,0.9316984641839348
GillInf (n=5),MucusRes (n=20),0.461538461538467,0.4969058475647652,0.9316984641839348
GillRes (n=18),MucusCont (n=25),0.0,1.0,1.0
GillRes (n=18),MucusInf (n=7),0.8241758241758248,0.36396207510247736,0.9119515948147147
GillRes (n=18),MucusRes (n=20),0.8213675213675344,0.3647806379258859,0.9119515948147147
MucusCont (n=25),MucusInf (n=7),0.8732467532467609,0.3500580355382562,0.9119515948147147
MucusCont (n=25),MucusRes (n=20),1.0565217391304316,0.3040098383142076,0.9119515948147147
MucusInf (n=7),MucusRes (n=20),0.02755102040816837,0.8681687542531046,1.0
