index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Nanoarchaeota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Calditrichota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__Margulisbacteria,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospinota,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,group1
Gi00C1,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2938.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1136.0,0.0,0.0,0.0,0.0,665.0,GillCont
Gi00C2,767.0,2236.0,0.0,0.0,23.0,0.0,97.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,509.0,0.0,0.0,0.0,0.0,45.0,GillCont
Gi00C3,1858.0,654.0,0.0,0.0,9.0,0.0,213.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,984.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,83.0,GillCont
Gi00C4,126.0,21.0,0.0,0.0,0.0,0.0,196.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,7.0,25.0,GillCont
Gi00C5,210.0,791.0,0.0,0.0,0.0,0.0,32.0,2092.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,76.0,0.0,74.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,757.0,0.0,0.0,0.0,0.0,232.0,GillCont
Gi0I1,60.0,72.0,0.0,0.0,0.0,9.0,264.0,303.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,21.0,0.0,0.0,1984.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0,8.0,49.0,GillRes
Gi0I2,0.0,0.0,0.0,0.0,0.0,0.0,343.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1423.0,0.0,0.0,0.0,10.0,34.0,GillRes
Gi0I3,21.0,73.0,0.0,0.0,0.0,0.0,688.0,204.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,109.0,0.0,0.0,2443.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1222.0,0.0,0.0,0.0,9.0,39.0,GillRes
Gi0I4,4.0,8.0,0.0,0.0,0.0,4.0,417.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,0.0,1.0,0.0,7.0,28.0,GillRes
Gi0I5,0.0,0.0,0.0,0.0,0.0,0.0,487.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,18.0,15.0,GillRes
