Group 1,Group 2,Sample size,Permutations,R,p-value,q-value
GillCont,GillInf,30,200,-0.19700645161290323,0.8656716417910447,0.9381663113006397
GillCont,GillRes,43,200,-0.013971057149865072,0.5472636815920398,0.6840796019900497
GillCont,MucusCont,50,200,0.41563200000000006,0.004975124378109453,0.014925373134328358
GillCont,MucusInf,32,200,-0.022874944370271457,0.5024875621890548,0.6840796019900497
GillCont,MucusRes,45,200,0.17456326530612254,0.004975124378109453,0.014925373134328358
GillInf,GillRes,23,200,-0.1604635310156784,0.9601990049751243,0.9601990049751243
GillInf,MucusCont,30,200,0.8479483870967743,0.004975124378109453,0.014925373134328358
GillInf,MucusInf,12,200,0.41751152073732706,0.01990049751243781,0.042643923240938165
GillInf,MucusRes,25,200,0.1123,0.27860696517412936,0.41791044776119407
GillRes,MucusCont,43,200,0.6750061319597744,0.004975124378109453,0.014925373134328358
GillRes,MucusInf,25,200,0.23928115307425665,0.029850746268656716,0.055970149253731345
GillRes,MucusRes,38,200,0.24540006478781987,0.004975124378109453,0.014925373134328358
MucusCont,MucusInf,32,200,0.09774810858923014,0.1890547263681592,0.3150912106135987
MucusCont,MucusRes,45,200,0.1764734693877551,0.014925373134328358,0.03731343283582089
MucusInf,MucusRes,27,200,-0.12593094109681785,0.8756218905472637,0.9381663113006397
