Group 1,Group 2,H,p-value,q-value
GillCont (n=25),GillInf (n=5),0.0007741935483949192,0.9778022579513701,1.0
GillCont (n=25),GillRes (n=18),0.0,1.0,1.0
GillCont (n=25),MucusCont (n=25),2.500611764705866,0.11380208364163107,0.3461917875802816
GillCont (n=25),MucusInf (n=7),2.1948051948051983,0.13847671503211265,0.3461917875802816
GillCont (n=25),MucusRes (n=20),3.681391304347841,0.05502291822574066,0.3461917875802816
GillInf (n=5),GillRes (n=18),0.08888888888887436,0.7655944839957826,0.9569931049947281
GillInf (n=5),MucusCont (n=25),1.1775483870967776,0.2778556608925614,0.4852537053060543
GillInf (n=5),MucusInf (n=7),1.1142857142857139,0.29115222318363254,0.4852537053060543
GillInf (n=5),MucusRes (n=20),1.4953846153846229,0.22138288217168217,0.47439189036789037
GillRes (n=18),MucusCont (n=25),2.8024242424242516,0.09412189775925177,0.3461917875802816
GillRes (n=18),MucusInf (n=7),2.289377289377299,0.1302621757320511,0.3461917875802816
GillRes (n=18),MucusRes (n=20),3.3923076923076962,0.0655012142569312,0.3461917875802816
MucusCont (n=25),MucusInf (n=7),0.3787012987013014,0.5382991000534734,0.7340442273456456
MucusCont (n=25),MucusRes (n=20),0.43878260869564656,0.5077106242694884,0.7340442273456456
MucusInf (n=7),MucusRes (n=20),0.012244897959178047,0.9118886095675697,1.0
