Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	taurolithocholicacid-3-sulfate	1	0
taurolithocholicacid-3-sulfate	Ursocholicacid	0.36363636363636365	0.24526500073077734
taurolithocholicacid-3-sulfate	Glycocholicacid	0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	Taurocholicacid	-0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	BMP(22:5_22:6)	0.7575757575757576	0.004316216598311831
taurolithocholicacid-3-sulfate	BMP(20:5_22:6)	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	BMP(20:4_22:6)	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	BMP(18:1_20:4)	-0.3939393939393939	0.2051287374811778
taurolithocholicacid-3-sulfate	BMP(18:1_22:4)	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	BMP(20:4_22:4)	-0.5757575757575758	0.050110701061225484
taurolithocholicacid-3-sulfate	Carnitine C4-OH	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	Carnitine C18:1	0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	Carnitine C12:1-OH	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	Carnitine C3:1-2OH	0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	Carnitine C12:1-2OH	0.48484848484848486	0.11013380361698864
taurolithocholicacid-3-sulfate	Carnitine C12-OH	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	Carnitine C8:0	0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	Carnitine C6:0	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	Carnitine C3:0	0.42424242424242425	0.16928128956181773
taurolithocholicacid-3-sulfate	Carnitine C20:4	0.2727272727272727	0.3910967709418963
taurolithocholicacid-3-sulfate	Cer(t26:1/12:1(2OH))	-0.6666666666666666	0.017900123202763782
taurolithocholicacid-3-sulfate	Cer(t20:2/18:0(2OH))	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	Cer(t20:0/18:2(2OH))	-0.6060606060606061	0.03671701047945948
taurolithocholicacid-3-sulfate	Cer(t18:1/20:1(2OH))	-0.5454545454545454	0.06661188226688906
taurolithocholicacid-3-sulfate	Cer(t16:2/22:0(2OH))	-0.5151515151515151	0.08652854082139654
taurolithocholicacid-3-sulfate	Cer(t14:1/24:1(2OH))	0.45454545454545453	0.13765791634772956
taurolithocholicacid-3-sulfate	Cer(t14:0/19:1(2OH))	-0.7272727272727273	0.007355028857805139
