Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	taurolithocholicacid-3-sulfate	1	0
taurolithocholicacid-3-sulfate	Ursocholicacid	0.6670557936925691	0.017809070965510387
taurolithocholicacid-3-sulfate	Glycocholicacid	0.7463457335546687	0.005302374150007738
taurolithocholicacid-3-sulfate	Taurocholicacid	-0.7638591310192424	0.003828918741436532
taurolithocholicacid-3-sulfate	BMP(22:5_22:6)	0.9638575326065306	4.5708526233829134e-7
taurolithocholicacid-3-sulfate	BMP(20:5_22:6)	-0.8185908108530559	0.0011311333866136216
taurolithocholicacid-3-sulfate	BMP(20:4_22:6)	-0.8135587959483788	0.0012853256707113785
taurolithocholicacid-3-sulfate	BMP(18:1_20:4)	-0.747964106668818	0.005150694059539298
taurolithocholicacid-3-sulfate	BMP(18:1_22:4)	0.6631895841422005	0.01872894511490997
taurolithocholicacid-3-sulfate	BMP(20:4_22:4)	-0.7165718566358744	0.008739965828278809
taurolithocholicacid-3-sulfate	Carnitine C4-OH	0.8372374912128392	6.798663701613974e-4
taurolithocholicacid-3-sulfate	Carnitine C18:1	0.6428875714574647	0.024139680346068403
taurolithocholicacid-3-sulfate	Carnitine C12:1-OH	-0.7653624285790407	0.003718791846864407
taurolithocholicacid-3-sulfate	Carnitine C3:1-2OH	0.8223126950110028	0.0010265712434626795
taurolithocholicacid-3-sulfate	Carnitine C12:1-2OH	0.5237599222945568	0.08050672993208237
taurolithocholicacid-3-sulfate	Carnitine C12-OH	-0.8678751624374581	2.529642257916339e-4
taurolithocholicacid-3-sulfate	Carnitine C8:0	0.8137604343053697	0.0012788523815901245
taurolithocholicacid-3-sulfate	Carnitine C6:0	-0.9104558126710777	3.894894102590304e-5
taurolithocholicacid-3-sulfate	Carnitine C3:0	0.8147639547573361	0.0012470079918865946
taurolithocholicacid-3-sulfate	Carnitine C20:4	0.6854829716297383	0.013873234630962074
taurolithocholicacid-3-sulfate	Cer(t26:1/12:1(2OH))	-0.9255973223699829	1.583299304106385e-5
taurolithocholicacid-3-sulfate	Cer(t20:2/18:0(2OH))	-0.7862229814148304	0.002424985719103753
taurolithocholicacid-3-sulfate	Cer(t20:0/18:2(2OH))	-0.7994037436356831	0.0018066167777537688
taurolithocholicacid-3-sulfate	Cer(t18:1/20:1(2OH))	-0.6778865430532083	0.015408501247146785
taurolithocholicacid-3-sulfate	Cer(t16:2/22:0(2OH))	-0.8047458043125177	0.0015937935739647152
taurolithocholicacid-3-sulfate	Cer(t14:1/24:1(2OH))	0.6424784180401836	0.02425919376949909
taurolithocholicacid-3-sulfate	Cer(t14:0/19:1(2OH))	-0.7985722791795029	0.0018416070921070176
taurolithocholicacid-3-sulfate	Cer(d18:1/15:1(2OH))	0.7745694247497792	0.003095803451443204
taurolithocholicacid-3-sulfate	Cer(d24:1/18:0(2OH))	-0.8965006384240355	7.843544059616198e-5
taurolithocholicacid-3-sulfate	Cer(d18:0/16:0)	-0.8206733718586927	0.0010716642920898737
taurolithocholicacid-3-sulfate	Cer(d16:0/20:1)	-0.8919265323657659	9.659849347508316e-5
taurolithocholicacid-3-sulfate	Cer(d22:0/18:1)	-0.6985873980781624	0.011494336368615304
taurolithocholicacid-3-sulfate	Cer(d16:0/19:1)	-0.758178601763427	0.00426753065951233
taurolithocholicacid-3-sulfate	Cer(d16:0/18:1)	0.7344743096786687	0.006520367414226655
taurolithocholicacid-3-sulfate	Cer(d18:0/24:0)	-0.7384811375547665	0.006087974557582984
taurolithocholicacid-3-sulfate	Cer(t18:0/24:0)	0.834852209181714	7.280732578946879e-4
taurolithocholicacid-3-sulfate	Cer(t18:0/22:0)	0.9238858309509613	1.768774670614095e-5
taurolithocholicacid-3-sulfate	Cer(t16:1/26:0)	0.818228109872755	0.0011417451990042972
taurolithocholicacid-3-sulfate	Cer(t14:1/21:0)	-0.8440351279231071	5.559311603413387e-4
taurolithocholicacid-3-sulfate	Cer(t21:1/18:0)	-0.8244399529835515	9.702534897674462e-4
taurolithocholicacid-3-sulfate	Cer(t18:1/15:1)	-0.7433299353935869	0.005593987502142445
taurolithocholicacid-3-sulfate	Cer(d20:1/24:1)	0.6537685832375264	0.021115593001546237
taurolithocholicacid-3-sulfate	Cer(d19:1/22:0)	0.7101819615028231	0.009654739062030753
taurolithocholicacid-3-sulfate	Cer(d18:1/15:0)	0.840856428623756	6.114854943413078e-4
taurolithocholicacid-3-sulfate	Cer(d17:1/24:1)	-0.726227813409143	0.007482478929717231
