Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	1682.63869548024	1686.375	6.56082510684118	0.997692429743606	1667	1
A2	1724.46152152827	1722.03448275862	6.60570001943041	0.997786436373801	1709	1
A3	1717.25136620665	1716	6.63414230136869	0.997792682041201	1707	1
A4	1647.19869310498	1658.33333333333	6.53019397772365	0.997666227346189	1620	1
A5	1724.80111965256	1727.28571428571	6.56911277577495	0.997671591187152	1713	1
A6	1739.68304224659	1744.90909090909	6.62995107183196	0.997737337984186	1731	1
B1	2019.78078070881	2031.9375	6.64508496036048	0.997740352844292	2010	1
B2	1988.62271149541	2023.21428571429	6.46233562496303	0.997305376696092	1973	1
B3	1958.2372408867	1964.125	6.50147367525667	0.997396949713413	1946	1
B4	2021.74670095101	2023.09090909091	6.60530780684318	0.997554086447153	2019	1
B5	1919.74388709289	1925.55882352941	6.37679594632369	0.99698342660922	1899	1
B6	1999.6329744906	2002	6.60399294610685	0.997621939270034	1995	1
C1	2136.33480359867	2139.14084507042	6.60443261593441	0.997735479862554	2099	1
C2	2158.94874862864	2170.25	6.57800503844874	0.997575531391296	2153	1
C3	2161.79433167369	2161.5	6.62771544834591	0.997617664005942	2153	1
C4	2159.23755460651	2164.75	6.5247694798555	0.997446870013349	2143	1
C5	2146.92826045553	2160.24137931034	6.60022802067976	0.997649761363498	2136	1
C6	2169.57669372051	2173	6.60818974618369	0.997547077762994	2159	1
