Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	289.217050720803	297	4.98912910720236	0.991224668216454	287	1
A2	287.824626865672	289	4.99449383729285	0.991163569730377	286	1
A3	292.407995296884	289	5.02152846727304	0.991448145444517	286	1
A4	285.045614035088	282.6	4.96566952878436	0.991077843134944	282	1
A5	282.262125	282	4.99457376435108	0.991308302364141	282	1
A6	291.660204081633	290.5	5.01198822168134	0.991313219084576	289	1
B1	313.264161097216	313	5.02075066570389	0.991113188375935	313	1
B2	312.461152276632	313	4.88308981188752	0.989560739728707	312	1
B3	306.77772279003	306.5	4.9105659147315	0.989802796435175	306	1
B4	309	309	4.95930636244456	0.990354669193208	309	1
B5	302.263731750483	302	4.82967740926196	0.989054242743646	302	1
B6	313.964154411765	311.75	4.961888532692	0.99039679788662	311	1
C1	320.207792207792	320.5	4.94594353322439	0.990164725093191	319	1
C2	320.326496358671	320	4.93924737062791	0.990060322203198	320	1
C3	320	320	4.98123211430112	0.990561138266324	320	1
C4	318.088669950739	317.5	4.93334800971786	0.989728013539361	317	1
C5	315	315	4.94358708962534	0.990184166298067	315	1
C6	319	319	4.96679206896469	0.990524047061165	319	1
