Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	201	201	4.01759895340563	0.968251945852084	201	1
A2	213.217614301625	212.75	4.0455743772716	0.969478833047895	212	1
A3	210	210	4.06607335419074	0.96984182576026	210	1
A4	200.206607729125	199.75	3.9989296105317	0.968881328985398	199	1
A5	212	212	4.03725953724112	0.96873147064498	212	1
A6	214	214	4.08325482974162	0.970873227472076	214	1
B1	217.570881226054	216	4.08974464276702	0.969045577602434	215	1
B2	219.744663846709	218.5	3.97011291985018	0.967050525570614	217	1
B3	220.409962871287	222	3.96627329603286	0.965778952140164	217	1
B4	225.79859541436	225.25	4.06400505287462	0.967360764709619	225	1
B5	204.641517318228	205	3.91842811777064	0.964926787797584	204	1
B6	219.624441848297	219.333333333333	3.99160103073352	0.964622868561648	219	1
C1	236.365472580093	235.25	4.04084851612471	0.967825529822778	234	1
C2	241.801979530165	242.5	4.03696408799607	0.967121068825541	241	1
C3	241.406060606061	240.25	4.12384770413627	0.970215262684218	240	1
C4	238.327971359609	238	3.94969923613933	0.962657889600896	238	1
C5	238.340425531915	239	4.07136359697583	0.968899322601918	238	1
C6	244.066582407443	246	4.11760993118336	0.970468601671707	243	1
