Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	15126.0221120866	15175.833976834	8.05640167297595	0.998832385472225	14980	1
A2	15409.2685657479	15445.3205741627	8.14676720236351	0.998992061608201	15294	1
A3	15638.3244259074	15651.0746268657	8.14350874076374	0.998871252673694	15556	1
A4	14518.3173388917	14559.8396226415	7.97318162869505	0.998724014590654	14291	1
A5	15575.8865399144	15593.0574712644	8.07412718335419	0.99882468325579	15457	1
A6	15800.4888740451	15813.5	8.11351502755898	0.99880692286409	15717	1
B1	18049.7122409814	18130.1791044776	8.17103420985339	0.998794477402319	17940	1
B2	17199.4055691078	17245.4253521127	8.01078571336395	0.998866815658479	17024	1
B3	17106.4602137587	17194.9528301887	8.05780476755413	0.99894168633249	16930	1
B4	18035.2743853596	18082.1382978723	8.07494199185752	0.99861280267767	17954	1
B5	16305.5687263594	16425.9831932773	7.89588083319039	0.998777766755662	16048	1
B6	17559.1951729349	17640.1129032258	8.12460344205589	0.998893493780433	17466	1
C1	23417.4895672622	23345.9374193548	8.13821874485806	0.998881089685219	22786	1
C2	23925.1742997054	24021.8723404255	8.08157138049899	0.998720492808147	23866	1
C3	24174.121187625	24220.8820224719	8.11128690773202	0.998547349833451	24088	1
C4	23821.8006983709	23864.7096774194	8.1037731477681	0.99899855299829	23676	1
C5	23587.2195912984	23646.0333333333	8.0812955768763	0.998645970680766	23426	1
C6	24124.205147324	24184.9459459459	8.04068685010086	0.99840182181785	24014	1
