Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	370.216082524608	368.4	2.07557619593153	0.76949003154148	360	1
A2	394.107365622077	394.058823529412	2.44353385675341	0.860722498778248	384	1
A3	390.479222371459	389	2.50351222266884	0.861679017397941	380	1
A4	310.78731512923	313.4375	1.97197892967414	0.761416280445778	299	1
A5	371.836208622079	370.833333333333	2.20900391508502	0.794735397851115	365	1
A6	406.005456182656	407.8125	2.42590694072327	0.86150395807112	392	1
B1	386.711748453682	387.5	2.65954783055671	0.887690982879718	384	1
B2	360.392542085921	360.352941176471	1.99111237900105	0.692901146581281	355	1
B3	356.104726987367	353.8	2.15056015081114	0.783999160754394	347	1
B4	412.260782946733	415.333333333333	2.53153721112031	0.86619490442309	408	1
B5	315.362155467101	332.333333333333	1.63329438709408	0.641558015168651	291	1
B6	375.552798593914	375.5	2.39434355117848	0.829521402153559	368	1
C1	416.524992123979	416.055555555556	2.52915898187865	0.884603214722987	411	1
C2	418.344963308415	420.625	2.36897730403844	0.85497556054865	415	1
C3	453.752546204266	454.142857142857	2.43234566497651	0.838256751759229	452	1
C4	396.705886533724	409	2.00412029191547	0.762282589766009	384	1
C5	435.519873608375	436.5	2.47787341312623	0.86340657562001	433	1
C6	462.154216976182	464.8	2.34242451004282	0.815615348887228	457	1
