Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	253.709411148522	254.5	3.94261174483602	0.961561709975321	251	1
A2	258.944668303247	258.5	3.81769277128211	0.95262997851552	258	1
A3	273.667203072505	277	3.92077733899562	0.958484400852559	266	1
A4	240.606307234303	241.2	3.67639178067444	0.944648198754464	237	1
A5	260.284893617021	261.142857142857	4.07272978948873	0.967730262426443	256	1
A6	266.599948373989	270	3.70138572558111	0.941327752171184	263	1
B1	312.140416396996	313	4.04029826613588	0.965865120097148	310	1
B2	282.923252978464	283.5	3.64546810254977	0.949093532827869	279	1
B3	290.614629644684	290.076923076923	3.70616253015464	0.952434746680321	285	1
B4	304.838701702928	304.428571428571	4.05330763499738	0.967275816998184	304	1
B5	273.155567986051	277.272727272727	3.47350642962142	0.93978629078754	260	1
B6	295.200402138209	294.75	3.85156085530933	0.957985152596157	294	1
C1	273.172961838221	274.142857142857	3.95012014275983	0.964234266177722	269	1
C2	275.245611907886	275	3.9431808248913	0.963283717044341	272	1
C3	285.001328107919	283.625	4.08839536849014	0.969327640017278	281	1
C4	271.535993981054	269.111111111111	3.83644337281334	0.960256883389439	263	1
C5	273.129500818331	274.2	4.02848344354065	0.967376132376368	270	1
C6	279.926779836336	289	4.09889366718822	0.969974783074737	274	1
