Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	315.312536254797	314.6	4.22572314998574	0.964337753356556	314	1
A2	318.214953271028	318	4.2356347474775	0.96510466630556	318	1
A3	326.336526077098	326	4.21433113268013	0.964255266260201	326	1
A4	304.545796308954	304.125	4.21598324541129	0.965094789977119	304	1
A5	323.943910989179	323.5	4.25715557512568	0.96563683295147	322	1
A6	328.075435519603	327.6	4.21043990155504	0.963683989142133	327	1
B1	331.376680391569	330.5	4.1759323901759	0.961842108822012	330	1
B2	312.680309442895	313	3.92760303601137	0.956142341984569	310	1
B3	316.413154031694	315.5	4.02230554411756	0.95913785458032	314	1
B4	324.754409165509	325.5	4.08575025422213	0.959941700907112	324	1
B5	301.304899930616	302.090909090909	3.93406985825386	0.957900540309229	295	1
B6	314.568775686428	314.2	3.99236952338246	0.957977119677532	314	1
C1	345.295207490014	345.142857142857	4.04328177272977	0.957837136968416	343	1
C2	341.827769557028	342	4.07812283334349	0.95964309287744	341	1
C3	355.328571128285	355.75	4.10944296584069	0.957804510804491	352	1
C4	343.423950089238	342.428571428571	4.08995668833175	0.963238807332684	341	1
C5	341.181461030023	341	4.06111769030604	0.956837981854216	341	1
C6	353.499705739011	352.75	4.06764003512731	0.956146606838414	352	1
