Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	3986.94788480896	3999.35	7.32029817225156	0.998905535759663	3948	1
A2	4040.62946607392	4043.25	7.40213306549458	0.998988502994919	4003	1
A3	4106.63378044321	4110.65	7.45065295522564	0.998990785305172	4087	1
A4	3865.88896063228	3871.72093023256	7.23372329826938	0.998667444422122	3813	1
A5	4048.28670372565	4045.31343283582	7.34659430903826	0.998892462183915	4018	1
A6	4154.07494511375	4158.05263157895	7.45218592572433	0.999009268728581	4132	1
B1	4839.62442733076	4878.55263157895	7.52536044485831	0.999123306687042	4815	1
B2	4740.38044808655	4812.56097560976	7.34565048767112	0.998973647393012	4699	1
B3	4666.92338491607	4686.25806451613	7.38742143006091	0.999045206862961	4634	1
B4	4864.73869734516	4867.52272727273	7.50447109485801	0.999070794235016	4854	1
B5	4494.25835822963	4514.4512195122	7.23089398738347	0.998832948219548	4440	1
B6	4808.13472708994	4814.52777777778	7.50853939967066	0.99912637115778	4795	1
C1	6501.76943354074	6479.02079002079	7.49297787366744	0.999122335766825	6303	1
C2	6626.65046699865	6651.70588235294	7.47771695535385	0.999078532580792	6617	1
C3	6659.5130891127	6662.13333333333	7.54897860460459	0.999053233388916	6643	1
C4	6644.86287817149	6669.86538461538	7.44412041640986	0.999099880966973	6606	1
C5	6506.5082749728	6522.88479262673	7.4866701624151	0.999059497979943	6465	1
C6	6664.38713334419	6674.68292682927	7.50224577118854	0.998990583952569	6646	1
