Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	6	6	1.36631174386562	0.655631087491368	6	1
A2	6	6	1.38503571940764	0.666030598666686	6	1
A3	6	6	1.4030520295452	0.674069978684396	6	1
A4	6	6	1.35822788798311	0.651342713535888	6	1
A5	6	6	1.37766792978543	0.661644578594693	6	1
A6	6	6	1.41394338077768	0.680250055677121	6	1
B1	6	6	1.43468385745434	0.693201829873493	6	1
B2	6	6	1.42394711129427	0.691800772332671	6	1
B3	6	6	1.43639888353792	0.698041265731614	6	1
B4	6	6	1.46663111216589	0.711780108409843	6	1
B5	6	6	1.42356420892738	0.692537772271621	6	1
B6	6	6	1.43168992333947	0.695075645864401	6	1
C1	6	6	1.4518897085099	0.704144242249158	6	1
C2	6	6	1.46128077549667	0.709014879074705	6	1
C3	6	6	1.48430159726487	0.717858100370335	6	1
C4	6	6	1.46194026077932	0.710102804118062	6	1
C5	6	6	1.46798024061742	0.711466292540268	6	1
C6	6	6	1.48586975857079	0.719403062950262	6	1
