Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	131.404185185185	131	3.73238733045385	0.961270104668316	131	1
A2	136.993125	136	3.74187916299667	0.962156340759464	135	1
A3	132	132	3.72622654365319	0.960445041014243	132	1
A4	125.267839497173	125	3.7193223449687	0.961648487261219	125	1
A5	134.356651115157	134	3.73726973687086	0.96125608400191	134	1
A6	138.360238097531	138	3.73750569663213	0.961277992301558	138	1
B1	137.159763313609	136.333333333333	3.7026979722718	0.957651961557048	136	1
B2	141.088574941051	140.2	3.64609417730281	0.958401340950364	140	1
B3	136.543628808864	136.5	3.6296714781621	0.956760178854481	135	1
B4	142.044642344154	141.333333333333	3.64358802505355	0.954388689759745	141	1
B5	132.638092502155	133	3.59418952320373	0.955190831091751	132	1
B6	140.207062359128	140	3.61645835586676	0.952427866787011	140	1
C1	151.418749797885	153	3.67654047161211	0.958244623746099	148	1
C2	151.631686834623	151.5	3.64963328874905	0.955949664291213	151	1
C3	149	149	3.71134733658565	0.95805347555105	149	1
C4	149.4111328125	149	3.58634339105241	0.951732354917395	149	1
C5	150	150	3.67511807475924	0.95713522442699	150	1
C6	150.931630353118	150	3.69120750989117	0.957251758148079	150	1
