Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	4153.16211857023	4192.97540983607	4.23652508774237	0.958209284387269	3989	1
A2	4602.73575329709	4635.43961352657	4.50987271592601	0.959378874314839	4469	1
A3	4788.9436452936	4853.04918032787	4.64437045044106	0.969292478414934	4659	1
A4	3423.94758375198	3485.5303030303	3.96051157512467	0.940471347191081	3268	1
A5	4632.57530473899	4642.5	4.56171871530976	0.967498440202328	4521	1
A6	4918.94735285027	4962.80597014925	4.44206779235049	0.951241490383073	4794	1
B1	5518.4225119167	5563.82258064516	4.50076093446646	0.935731650056453	5416	1
B2	4764.9617400887	4805.17374517375	2.65115165076833	0.68023414806216	4625	1
B3	4784.89214043213	4829.84435797665	2.90484187183182	0.77064545616734	4630	1
B4	5544.13245194484	5570.5	4.39565960090137	0.951783196735385	5469	1
B5	4196.11300437445	4298.1013215859	2.1159518202566	0.609310388100981	3999	1
B6	5043.2503030825	5090.16901408451	3.48569723474056	0.838059772573625	4912	1
C1	5168.35162106894	5190.424	4.49203323759425	0.96721798846755	5043	1
C2	5270.91753977194	5308.20873786408	4.4582227679025	0.960715860494338	5151	1
C3	5576.1807877487	5606.85534591195	4.73414115765239	0.972438698767873	5510	1
C4	4851.77395793166	4884.05882352941	3.73204558562936	0.921457130317677	4714	1
C5	5317.7939557869	5331.68181818182	4.6063846836177	0.968427081913359	5241	1
C6	5614.77681166886	5663.54022988506	4.7139141440765	0.972334502038189	5520	1
