Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	43.4293228139382	42.25	0.0108799927823185	0.00213200249121237	42	1
A2	42	42	0.0108125588490909	0.00205967057114076	42	1
A3	47.6708382526564	49	0.0102213839331502	0.00194342009360282	46	1
A4	36.3895184341492	36	0.0102539067824851	0.00201037859773734	36	1
A5	48.2867741935484	50	0.0114341090936032	0.0022065765958339	47	1
A6	48.5463059313215	47.3333333333333	0.010932664138539	0.00205451641063437	47	1
B1	63.3033204569738	63	0.0150913616056208	0.00284167796574919	63	1
B2	59	59	0.0152080666931286	0.00301811527226215	59	1
B3	59.3798638730575	59	0.0143670337710835	0.00281104427513068	59	1
B4	62.471360039362	62	0.0148030807153351	0.00279805836584013	62	1
B5	57.1100242199074	56	0.0160782550731268	0.0032536383384687	54	1
B6	63.256372325899	63	0.0159735301416334	0.00307908127553369	63	1
C1	51.037037037037	50	0.0123106958597068	0.00234614892723195	49	1
C2	52	52	0.0131942103245942	0.0025078619319544	52	1
C3	52	52	0.0143076301804716	0.00273236245309016	52	1
C4	49.4855586046236	49	0.0111012746113426	0.00212270389053248	49	1
C5	54.3632	54	0.0141608344719529	0.00270314480666356	54	1
C6	53.0677551020408	53	0.014489028117648	0.00278805913838731	52	1
