Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	6	6	1.19389853423448	0.636282718392802	6	1
A2	6	6	1.19625505742306	0.637252966895625	6	1
A3	6	6	1.19335649286942	0.636531209109451	6	1
A4	6	6	1.20784228137748	0.63813244096447	6	1
A5	6	6	1.20090866632808	0.638803814065659	6	1
A6	6	6	1.20027976763826	0.63855073175891	6	1
B1	6	6	1.1955590491457	0.643216661931278	6	1
B2	6	6	1.15244448626572	0.633240085443826	6	1
B3	6	6	1.15958988897737	0.635174745881407	6	1
B4	6	6	1.1981531289553	0.64931330703944	6	1
B5	6	6	1.15524965856594	0.633773288807824	6	1
B6	6	6	1.17590139304469	0.640819221877375	6	1
C1	6	6	1.16926245286539	0.639380539249448	6	1
C2	6	6	1.17661253493231	0.642463406954153	6	1
C3	6	6	1.18195931468902	0.644318950262283	6	1
C4	6	6	1.16074071003234	0.635269562511459	6	1
C5	6	6	1.18350418451858	0.64582287954215	6	1
C6	6	6	1.18346988856746	0.645220427236237	6	1
