Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	273.707444598338	273	4.77411934855941	0.987928684299046	272	1
A2	285	285	4.76457945770708	0.987648971413218	285	1
A3	270	270	4.77166244174991	0.987768810460186	270	1
A4	269	269	4.76710073185288	0.987827943762566	269	1
A5	286.622402962375	285.5	4.77100544765721	0.987880727814654	283	1
A6	283.714825816905	285.5	4.75105915789526	0.98720532799813	278	1
B1	303.147321428571	303	4.72245567149193	0.98655069095923	303	1
B2	305.441840277778	312	4.63637994828289	0.984859130862253	302	1
B3	287	287	4.63189666241211	0.984668674272447	287	1
B4	306.306818181818	304.333333333333	4.65682146718501	0.984927662405129	301	1
B5	295.360248447205	295.5	4.60057688981784	0.984162491412753	295	1
B6	297	297	4.66394302418658	0.985165454799683	297	1
C1	415.929402573907	415.333333333333	4.67284280123368	0.985395128698675	415	1
C2	415.53825	415	4.67590954874842	0.985014290363385	415	1
C3	415	415	4.761726454503	0.985823169202734	415	1
C4	412	412	4.68908642661952	0.984705702675436	412	1
C5	414.302900128103	414	4.67650949443659	0.98521938619125	414	1
C6	416	416	4.71185254502252	0.98526606576296	416	1
