Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	1171.46051305769	1181.55172413793	5.90704059846527	0.995943696508738	1156	1
A2	1228.53181928149	1227.5625	5.98170184279867	0.996243990810587	1221	1
A3	1249.82144664382	1250.72413793103	6.03523238490224	0.996388243077251	1242	1
A4	1103.5828304973	1110.5	5.80732214071689	0.995652851141876	1083	1
A5	1220.9870122954	1222.15625	5.96343748699265	0.996127394511883	1212	1
A6	1290.50328960232	1292.54166666667	6.04265901002587	0.996375254775796	1282	1
B1	1472.64522372517	1476.6	6.12835360187494	0.996588895554724	1459	1
B2	1417.61420881396	1425.48648648649	5.88232484380501	0.995696864963156	1395	1
B3	1392.84347358026	1393.02325581395	5.94941321938288	0.996029339070482	1373	1
B4	1504.17711079291	1503.03333333333	6.14242047247436	0.996595289451291	1500	1
B5	1288.36744152198	1293.1935483871	5.80465362327282	0.995516494548493	1274	1
B6	1445.70305456438	1446.95454545455	6.11510439412687	0.996533731976804	1440	1
C1	1728.48505599327	1724.06896551724	6.02427447463194	0.996201739672306	1677	1
C2	1773.30012166341	1782.6	6.05381811544257	0.996262340462057	1765	1
C3	1780.1882301471	1779	6.1567688022966	0.9964286940581	1772	1
C4	1720.85746273995	1719.75	5.98399078676915	0.99601694548622	1710	1
C5	1723.72367912782	1725.78846153846	6.05303872358771	0.996243556777246	1715	1
C6	1774.53020032912	1775.77777777778	6.10121555273908	0.996226607844504	1768	1
