Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	23	23	2.66254052553446	0.904777576525303	23	1
A2	23	23	2.67795632229852	0.907570034249323	23	1
A3	23	23	2.66593859874083	0.90438821410652	23	1
A4	23	23	2.65305270665905	0.90348207160805	23	1
A5	23	23	2.66008344958675	0.904144302707141	23	1
A6	23	23	2.66088243409468	0.903774988256753	23	1
B1	23	23	2.67237558536998	0.905221583753736	23	1
B2	23	23	2.69121592550226	0.910311764873657	23	1
B3	23	23	2.69194867048355	0.909881617527509	23	1
B4	23	23	2.67221184847987	0.904867295825282	23	1
B5	23	23	2.67978441148919	0.908380526993265	23	1
B6	23	23	2.68912989263796	0.909116542719269	23	1
C1	24	24	2.69798552769478	0.910334584084334	24	1
C2	24	24	2.68187813840717	0.907091985368011	24	1
C3	24	24	2.67701311959748	0.905036082968644	24	1
C4	24	24	2.6977594720523	0.908944294329998	24	1
C5	24	24	2.68012692011943	0.90677078768123	24	1
C6	24	24	2.66851102351736	0.9039211613834	24	1
