Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	152504.599479114	153133.947639359	10.0308450107352	0.999855253951031	149285	1
A2	162663.085761941	163204.680626546	10.2334392392994	0.999876439458422	159904	1
A3	169126.640172966	170039.179750711	10.3798407715437	0.999881247443049	166868	1
A4	132799.509769068	133354.936900056	9.81051100719566	0.999829571396549	129080	1
A5	163229.388556906	163546.916968647	10.1513746017508	0.999861500677522	160807	1
A6	174509.249480247	175136.448888889	10.4439069602209	0.99988742958355	172227	1
B1	216442.692036418	217381.022929936	10.6687509218202	0.99989923521811	214258	1
B2	188301.105426006	189445.893065693	9.97157599261154	0.999834118948884	184526	1
B3	186280.372550211	187579.126540881	10.1160966387582	0.999861134540014	182517	1
B4	211885.200124527	212416.459049545	10.5720278220846	0.999890405077804	209938	1
B5	167895.847107994	169689.026962539	9.73775863769876	0.999810109884451	162519	1
B6	198189.338070971	199220.965997468	10.3916857730234	0.999882522163175	195954	1
C1	207489.893751353	208037.286532422	10.4787461728404	0.999896225564693	202754	1
C2	216463.903421993	217943.891014691	10.4786726680676	0.999888625691143	214092	1
C3	221932.523445026	222731.370864886	10.6369735109214	0.999890338389475	219781	1
C4	207213.636732081	207630.462481275	10.219197904323	0.999880367165942	204181	1
C5	210383.156206416	210910.465192021	10.5243461558896	0.999889771877566	208377	1
C6	220135.56193467	221209.377305463	10.5607272186908	0.999881922546549	217390	1
