Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	94.5125587344854	93.3	1.31907345978276	0.55216940820219	93	1
A2	102.365384749974	101	1.67985842312831	0.714761388352864	100	1
A3	102.732611956973	101.25	1.64391178709663	0.684798525788377	100	1
A4	79.654636779122	78.1428571428571	1.12700553572793	0.49585119432233	76	1
A5	109.188441324051	111	1.41054480898595	0.601203201360135	104	1
A6	104.11230527714	103.2	1.65212379810437	0.727050839388704	102	1
B1	106.107827038862	105.5	1.71531474488332	0.772306967774951	104	1
B2	98.9644849468713	99.5	1.67793716118638	0.72048320028007	98	1
B3	103.962752498132	103.5	1.79530044129355	0.780378518310857	100	1
B4	118.922975486052	122.5	1.66329350557696	0.727672736425239	115	1
B5	91.8099085776726	100.333333333333	1.37697121144153	0.64075598872129	82	1
B6	100.67064878083	100.5	1.8000648092821	0.79125170949482	99	1
C1	113.819360460233	112.857142857143	1.98362715764726	0.826980735188284	112	1
C2	112.031083388961	111.75	1.84821591198099	0.79471980228291	111	1
C3	117	117	1.72195951202422	0.715072016770383	117	1
C4	107.351585357556	106.666666666667	1.76786385106296	0.769089253303576	105	1
C5	115.031684449747	115.5	1.79219712706838	0.749451616742885	114	1
C6	119.292852941176	118.6	1.59547541253049	0.650240455113917	118	1
