Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	4	4	0.034500876093356	0.0109748358497906	4	1
A2	4	4	0.0395176968049873	0.0127573942617067	4	1
A3	4	4	0.0385648827891001	0.0124809313823364	4	1
A4	4	4	0.0298255305364342	0.00928289730362053	4	1
A5	4	4	0.0381505890501685	0.0121791023972202	4	1
A6	4	4	0.0350299077475601	0.0111108719241554	4	1
B1	4	4	0.0472247359278707	0.0157836821170925	4	1
B2	4	4	0.0309873431721954	0.00962016574418345	4	1
B3	4	4	0.0258683766907086	0.00777956072807851	4	1
B4	4	4	0.0398655071382933	0.0128540610087237	4	1
B5	4	4	0.0302967538070151	0.00945565551549843	4	1
B6	4	4	0.0261382855093823	0.00783075823463042	4	1
C1	4	4	0.0462321554470348	0.0144598765485869	4	1
C2	4	4	0.0611982917226326	0.0191945375982094	4	1
C3	4	4	0.104273937173879	0.036150077270969	4	1
C4	4	4	0.0845476914966199	0.0287888592898345	4	1
C5	4	4	0.0552207764723666	0.0174078476281282	4	1
C6	4	4	0.0775176853624788	0.0251541867620378	4	1
