Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	175.499468085106	174	1.33813270812529	0.545037560436905	171	1
A2	188.30713548899	186	1.76256400004534	0.712024845852135	182	1
A3	183.008545130888	183.428571428571	1.74802073439769	0.684937571973632	177	1
A4	142.685773521935	140.111111111111	1.14012823940889	0.490220985066096	137	1
A5	182.285092067865	182	1.47193729502923	0.594760943037703	178	1
A6	189.613860571429	188.5	1.81100130052217	0.743234818674978	184	1
B1	185.125652083694	185.75	2.05403409653803	0.829120756167948	182	1
B2	171.242738636364	172.75	1.8582938528102	0.726150274652687	169	1
B3	177.697337141864	179.857142857143	2.0069961475795	0.79157995396832	172	1
B4	203.019045962772	207	2.1149038109127	0.840590134671172	200	1
B5	157.605761315212	173.2	1.48901498517379	0.638866081290868	146	1
B6	178.652869238781	178.666666666667	2.20049640635913	0.835231630731658	177	1
C1	201.81373601988	200.25	2.22750298133016	0.870471638762457	199	1
C2	197.609671068117	198.5	2.11920368603678	0.849062818257961	196	1
C3	217.544625235735	217.2	2.09519851491983	0.830252734739952	217	1
C4	188.093217388672	190.428571428571	1.85495521004642	0.770992436382122	184	1
C5	204.758831901202	205	2.15220438034693	0.84964768738701	204	1
C6	219.951814271748	219.625	2.03019251320844	0.807124740794757	217	1
