Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	1052.91759097362	1083.56	4.58480391144521	0.967182793041138	998	1
A2	1144.50221130055	1161.62222222222	4.85613872474593	0.981143680101542	1111	1
A3	1182.06990673271	1201.42	4.80865645311165	0.977773150563363	1135	1
A4	948.479933794371	954.448275862069	4.54251592898836	0.97264929558409	904	1
A5	1134.56531063942	1143.59649122807	4.66961284670357	0.973095638978488	1100	1
A6	1209.90212956472	1221.875	4.74157743395307	0.977725113715331	1185	1
B1	1617.30104555384	1645.96226415094	4.84812107017735	0.969697979730342	1577	1
B2	1451.51252779942	1469.11428571429	4.63036547618701	0.975371616879388	1408	1
B3	1419.81688067635	1441.33823529412	4.85926271522677	0.98097149464482	1370	1
B4	1590.55312254093	1596.51666666667	4.78222670369474	0.966610320883688	1565	1
B5	1277.35783322903	1293.84375	4.60412223606863	0.975943227752389	1227	1
B6	1513.61193568103	1524.6	4.85114709003732	0.974663215617233	1488	1
C1	1310.81171788802	1335.05172413793	4.86447804451848	0.974340015257395	1266	1
C2	1371.60921797556	1394.46808510638	4.83697773114787	0.973513742561464	1337	1
C3	1393.97589641123	1441.375	4.70304205564494	0.959330617751046	1350	1
C4	1337.28261734878	1377.10909090909	4.89927459134063	0.981487928371699	1274	1
C5	1324.31976123196	1341.875	4.67588232789292	0.958257490544209	1293	1
C6	1372.59878128302	1404.26315789474	4.5824911567591	0.946232923724435	1337	1
