Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	740.833784027402	740.5	5.64807998851414	0.995340920438426	739	1
A2	751	751	5.66505554153215	0.995436771769546	751	1
A3	763	763	5.65803903124591	0.995402677086068	763	1
A4	728.285714285714	728	5.65701788366165	0.995445532577258	728	1
A5	741.356164383562	741.333333333333	5.6649001567652	0.995406003266648	741	1
A6	746	746	5.65570280458966	0.995387237823196	746	1
B1	762.519019442096	760.5	5.67254614352549	0.995386079215523	760	1
B2	755	755	5.63448728677293	0.995345096260893	755	1
B3	767.219068877551	767.5	5.65388958639742	0.995407237474063	765	1
B4	770	770	5.66821738154762	0.995402251077357	770	1
B5	754.4767076232	754.333333333333	5.64253312208023	0.995447723474853	754	1
B6	755	755	5.65578910525348	0.99543287075299	755	1
C1	766.285842223892	766	5.64606459763702	0.995274199543681	766	1
C2	770.383205070167	769.125	5.65797307215434	0.99536198172858	769	1
C3	772.458333333333	772	5.6432999933684	0.995191050176009	772	1
C4	768.426912	768	5.68478354010834	0.995610766336922	768	1
C5	762	762	5.63585691729586	0.995172022529058	762	1
C6	769	769	5.63294822324894	0.995135237690456	769	1
