Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	43	43	3.07934300504706	0.939401702714312	43	1
A2	43	43	3.07837269135339	0.939256917177917	43	1
A3	43	43	3.09782315809417	0.94114150264662	43	1
A4	43	43	3.06984009199282	0.938427699777185	43	1
A5	43	43	3.07873510114215	0.939361948816818	43	1
A6	43	43	3.08893557289183	0.940368351428902	43	1
B1	45	45	3.07801500945104	0.939145007996066	45	1
B2	43	45	3.02652232935912	0.933120313065722	45	1
B3	45	45	3.03960436707208	0.935098294069231	45	1
B4	43	45	3.06802827233667	0.938214967799775	45	1
B5	45.1020408163265	44	3.02103601111268	0.93306928309437	44	1
B6	45	44	3.04113714308362	0.935069637377571	44	1
C1	45	46	3.06064002782888	0.937220401624444	46	1
C2	45	46	3.06608541532881	0.937328855795638	46	1
C3	45	46	3.1099211311877	0.940706967315477	46	1
C4	44	46	3.07466837027337	0.937207973271059	46	1
C5	44	46	3.07037759255403	0.93835258088599	46	1
C6	46	46	3.09496690313257	0.94035601157134	46	1
