Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	13	13	1.93437193761578	0.778490484581625	13	1
A2	13	13	1.97178543519564	0.798530276832675	13	1
A3	13	13	1.99270938374706	0.80220988256131	13	1
A4	13	13	1.90938316088543	0.774322101043537	13	1
A5	13	13	1.94670599089895	0.785151880343801	13	1
A6	13	13	2.0004693431066	0.809024816071679	13	1
B1	13	13	2.01205714759115	0.817817899858593	13	1
B2	13	13	1.96790631132638	0.813704622836929	13	1
B3	13	13	1.98683509488655	0.814099875251078	13	1
B4	13	13	2.05753058276077	0.83251282029834	13	1
B5	13	13	1.94955396431479	0.81228227700445	13	1
B6	13	13	2.01270022732873	0.82382557883415	13	1
C1	13	13	2.00698603262752	0.814988676194173	13	1
C2	13	13	2.0252091918538	0.820968471518049	13	1
C3	13	13	2.00357380008152	0.817241471559677	13	1
C4	13	13	2.03303350705832	0.819151840915492	13	1
C5	13	13	2.00537825220058	0.818491897474519	13	1
C6	13	13	1.99670524725415	0.818157316068792	13	1
