Sample	ACE	chao1	shannon	simpson	observed_species	goods_coverage
A1	41.1948951325683	46	2.21809121135371	0.847318863773997	36	1
A2	45.2024979303891	45	2.27945145940268	0.843845173973907	45	1
A3	46.2274436090226	45.25	2.59160492321184	0.890220685818359	45	1
A4	42.4237034663248	42.5	1.96332334762071	0.793209662826052	41	1
A5	49.3565750882759	49	2.46233490700998	0.857841391591495	49	1
A6	44.5208124065953	44	2.32037044329062	0.831581542475161	43	1
B1	89.2641101809344	92	3.32244133235588	0.944073134737333	85	1
B2	80.1805989728704	79.5	3.13138754341404	0.917693731796936	79	1
B3	74.2762390670554	74	3.02243566918527	0.919285662842829	74	1
B4	85.252254798325	85	3.45114302584521	0.953661552781257	84	1
B5	70.3033307058211	69.4285714285714	2.88728534841578	0.901008106318343	69	1
B6	80.4743500958875	79.75	3.32171669965773	0.940187766581334	79	1
C1	65.7386377808263	63.5	2.72534161535579	0.883339848244223	61	1
C2	71.3790555555556	71	2.8276204616678	0.893843497317979	71	1
C3	64.3314675351109	64	2.86092409916657	0.89072669149166	64	1
C4	61.6484375	61	2.79289058563099	0.906213802803415	61	1
C5	64	64	2.79532166041778	0.888639077149691	64	1
C6	64.354071963272	64	2.74192039440485	0.878250820258648	64	1
