COL_1	COL_2	COL_3	COL_4	COL_5	COL_6	COL_7	COL_8	COL_9	COL_10
>>hsa-miR-22-5p	novel_circ_0000184_full_seq	154.00	-15.45	154.00	-15.45	661	22	261	 125
>>hsa-miR-22-5p	novel_circ_0000183_full_seq	154.00	-15.45	154.00	-15.45	663	22	261	 125
>>hsa-miR-26b-3p	novel_circ_0000003_full_seq	155.00	-19.77	155.00	-19.77	917	21	334	 211
>>hsa-miR-28-5p	novel_circ_0000003_full_seq	149.00	-19.51	149.00	-19.51	980	22	334	 151
>>hsa-miR-29a-5p	novel_circ_0000184_full_seq	151.00	-16.59	151.00	-16.59	1018	22	261	 183
>>hsa-miR-29a-5p	novel_circ_0000183_full_seq	151.00	-16.59	151.00	-16.59	1020	22	261	 183
>>hsa-miR-92a-2-5p	novel_circ_0000111_full_seq	151.00	-20.68	151.00	-20.68	1268	22	261	 54
>>hsa-miR-103a-2-5p	novel_circ_0000186_full_seq	147.00	-12.10	147.00	-12.10	1658	23	243	 93
>>hsa-miR-103a-1-5p	novel_circ_0000186_full_seq	147.00	-15.95	147.00	-15.95	1700	23	243	 93
>>hsa-miR-16-2-3p	novel_circ_0000003_full_seq	154.00	-15.64	154.00	-15.64	1820	22	334	 24
>>hsa-miR-198	novel_circ_0000151_full_seq	152.00	-23.52	152.00	-23.52	1969	22	270	 91
