COL_1	COL_2	COL_3	COL_4	COL_5	COL_6	COL_7	COL_8	COL_9	COL_10
>>hsa-let-7a-5p	hsa_circ_0007026_full_seq	161.00	-19.01	161.00	-19.01	41	22	623	 12
>>hsa-let-7a-5p	hsa_circ_0004212_full_seq	161.00	-19.01	161.00	-19.01	43	22	732	 262
>>hsa-let-7a-5p	hsa_circ_0007609_full_seq	145.00	-15.61	145.00	-15.61	69	22	504	 26
>>hsa-let-7a-5p	hsa_circ_0061510_full_seq	152.00	-12.67	152.00	-12.67	83	22	470	 1
>>hsa-let-7a-5p	hsa_circ_0061510_junction_seq	152.00	-14.83	152.00	-14.83	84	22	54	 25
>>hsa-let-7a-5p	hsa_circ_0006062_full_seq	147.00	-16.41	147.00	-16.41	97	22	10102	 9685
>>hsa-let-7a-5p	hsa_circ_0004300_full_seq	157.00	-17.97	157.00	-17.97	199	22	273	 202
>>hsa-let-7a-5p	hsa_circ_0000018_full_seq	147.00	-16.81	147.00	-16.81	211	22	407	 304
>>hsa-let-7a-5p	hsa_circ_0000160_full_seq	154.00	-18.31	154.00	-18.31	243	22	670	 333
>>hsa-let-7a-5p	hsa_circ_0015259_full_seq	154.00	-18.31	154.00	-18.31	245	22	987	 333
>>hsa-let-7a-5p	hsa_circ_0015260_full_seq	154.00	-18.31	154.00	-18.31	247	22	1436	 333
