COL_1	COL_2	COL_3	COL_4	COL_5	COL_6	COL_7	COL_8	COL_9	COL_10
>>hsa-let-7a-5p	novel_circ_0016455_full_seq	157.00	-17.35	157.00	-17.35	32	22	314	 86
>>hsa-let-7a-5p	novel_circ_0067453_full_seq	145.00	-13.39	145.00	-13.39	136	22	424	 197
>>hsa-let-7a-5p	novel_circ_0015731_full_seq	154.00	-17.21	154.00	-17.21	192	22	915	 501
>>hsa-let-7a-5p	novel_circ_0041984_full_seq	324.00	-38.51	166.00	-22.23	542	22	325	 278 97
>>hsa-let-7a-5p	novel_circ_0038867_full_seq	148.00	-16.46	148.00	-16.46	556	22	326	 297
>>hsa-let-7a-5p	novel_circ_0038867_junction_seq	148.00	-14.25	148.00	-14.25	557	22	54	 1
>>hsa-let-7a-5p	novel_circ_0054343_full_seq	159.00	-19.06	159.00	-19.06	578	22	360	 151
>>hsa-let-7a-5p	novel_circ_0050036_full_seq	162.00	-21.39	162.00	-21.39	618	22	385	 46
>>hsa-let-7a-5p	novel_circ_0017430_full_seq	154.00	-22.50	154.00	-22.50	670	22	309	 264
>>hsa-let-7a-5p	novel_circ_0063898_full_seq	163.00	-23.16	163.00	-23.16	718	22	400	 347
>>hsa-let-7a-5p	novel_circ_0061107_full_seq	149.00	-19.20	149.00	-19.20	934	22	336	 275
